Food_Item,Calories,Protein,Carbs,Fats,Is_Veg,Common_Allergens,Price,Category,Cuisine
Idli (2 pcs),150,4.0,30.0,0.5,Yes,None,25,Breakfast,South Indian
Dosa (Plain),170,4.5,30.0,4.0,Yes,None,30,Breakfast,South Indian
Masala Dosa,250,6.0,40.0,8.0,Yes,None,45,Breakfast,South Indian
Vada (2 pcs),290,6.0,25.0,18.0,Yes,None,25,Breakfast,South Indian
Upma,200,5.0,35.0,5.0,Yes,Gluten,30,Breakfast,South Indian
Poha,250,5.0,45.0,6.0,Yes,None,25,Breakfast,North Indian
Paratha (Plain),260,6.0,35.0,12.0,Yes,Gluten,30,Breakfast,North Indian
Aloo Paratha,320,7.0,40.0,14.0,Yes,Gluten,40,Breakfast,North Indian
Puri Bhaji,350,8.0,50.0,14.0,Yes,Gluten,35,Breakfast,North Indian
Chole Bhature,450,12.0,55.0,20.0,Yes,Gluten,60,Breakfast,North Indian
Uttapam,220,6.0,35.0,6.0,Yes,None,35,Breakfast,South Indian
Pongal,280,8.0,45.0,8.0,Yes,None,40,Breakfast,South Indian
Sambar Vada,320,8.0,40.0,14.0,Yes,None,35,Breakfast,South Indian
Medu Vada,180,5.0,22.0,8.0,Yes,None,20,Breakfast,South Indian
Bread Omelette,280,14.0,25.0,14.0,No,Gluten Eggs,35,Breakfast,Multi-Cuisine
Egg Bhurji,220,16.0,5.0,16.0,No,Eggs,40,Breakfast,North Indian
Boiled Eggs (2),140,12.0,1.0,10.0,No,Eggs,20,Breakfast,Multi-Cuisine
Poori (4 pcs),320,6.0,40.0,16.0,Yes,Gluten,30,Breakfast,North Indian
Sambar Rice,320,10.0,55.0,6.0,Yes,None,50,Lunch,South Indian
Curd Rice,280,8.0,50.0,5.0,Yes,Dairy,40,Lunch,South Indian
Lemon Rice,300,6.0,55.0,6.0,Yes,None,40,Lunch,South Indian
Tamarind Rice,310,5.0,58.0,6.0,Yes,None,40,Lunch,South Indian
Veg Biryani,400,10.0,65.0,12.0,Yes,None,70,Lunch,Hyderabadi
Chicken Biryani,550,28.0,55.0,22.0,No,None,120,Lunch,Hyderabadi
Mutton Biryani,620,32.0,55.0,28.0,No,None,150,Lunch,Hyderabadi
Egg Biryani,450,18.0,55.0,16.0,No,Eggs,80,Lunch,Hyderabadi
Veg Fried Rice,380,8.0,60.0,12.0,Yes,Soy,55,Lunch,Chinese
Chicken Fried Rice,480,22.0,55.0,18.0,No,Soy,85,Lunch,Chinese
Egg Fried Rice,400,14.0,55.0,14.0,No,Eggs Soy,65,Lunch,Chinese
Veg Pulao,320,7.0,55.0,8.0,Yes,None,50,Lunch,North Indian
Jeera Rice,280,5.0,52.0,6.0,Yes,None,40,Lunch,North Indian
Plain Rice,200,4.0,45.0,0.5,Yes,None,25,Lunch,Multi-Cuisine
Dal Rice,300,12.0,50.0,6.0,Yes,None,45,Lunch,North Indian
Rajma Rice,380,14.0,55.0,10.0,Yes,None,55,Lunch,North Indian
Kadhi Rice,320,10.0,50.0,8.0,Yes,Dairy,50,Lunch,North Indian
Veg Thali,550,15.0,80.0,18.0,Yes,Dairy Gluten,80,Lunch,North Indian
Non-Veg Thali,700,35.0,75.0,28.0,No,Dairy Gluten,120,Lunch,North Indian
Mini Meals (Veg),400,12.0,60.0,12.0,Yes,Dairy,60,Lunch,South Indian
Meals (Full - Veg),520,15.0,80.0,14.0,Yes,Dairy,70,Lunch,South Indian
Chapati (2 pcs),180,6.0,35.0,2.0,Yes,Gluten,15,Lunch,North Indian
Roti (2 pcs),170,5.5,32.0,2.0,Yes,Gluten,15,Lunch,North Indian
Naan,260,8.0,45.0,6.0,Yes,Gluten Dairy,25,Lunch,North Indian
Butter Naan,320,8.0,45.0,12.0,Yes,Gluten Dairy,35,Lunch,North Indian
